TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,TOI int,planet count,Multiplanet System,Single Transit,p_mean,p_sd,r_mean,r_sd,rhat_ok,exo_r
231663901.0,101.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,90.1,211.2,0.0,1.0,3.0,KP,KP,12.4069,0.006,,1.0,spoc,UNKNOWN,21:14:56.88,-55:52:18.71,12.641,0.044,-16.011,0.041,2459036.904104,0.0003926639,1.43036914033977,9.228199e-07,1.64387283171534,0.018756187,20.994855,0.2144,19151.2162143199,197.45049,13.2504933448192,0.66068995,1281.24179196536,1525.90509667994,109.60649,375.31,4.411,5600.0,,4.48851,,0.890774011611938,0.0438467,,,1.05,0.129454,"1,27",2018-09-05,2021-10-07,2021-10-29 00:00:00,WASP-46 b,101.0,1.0,False,False,1.43,0.0,0.139,0.002,True,0.1363747071769125
149603524.0,102.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,147.3,170.1,1.0,2.0,1.0,KP,KP,9.7109,0.006,,1.0,qlp,UNKNOWN,05:48:33.56,-63:59:17.98,-15.641,0.037,26.046,0.037,2459384.943122,0.0013867,4.4119288,1.58e-05,3.894,0.08,16.177972,0.00117,14790.0,1.07767,15.2023,0.692849,999.833,1566.0,863.0,175.631,0.588,6280.0,,4.32092,,1.21,0.05,0.24,0.05,1.28,0.190812,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39",2019-05-07,2021-08-24,2021-10-29 00:00:00,WASP 62 b,102.0,1.0,False,False,4.412,0.0,0.111,0.0,True,0.11518428983472262
336732616.0,103.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,54.7,136.1,0.0,0.0,7.0,KP,KP,11.5232,0.008,,1.0,spoc,UNKNOWN,20:49:49.8,-24:25:43.3,10.426,0.07,15.62,0.051,2458327.25256,0.000586,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.359314,14.581841,0.196435,1212.004376,1504.858953,59.5,411.211,7.752,6351.0,,4.22896,,1.4,,,,1.27,0.196969,1,2018-09-05,2020-10-27,2021-10-29 00:00:00,HATS-3 b,103.0,1.0,False,False,3.548,0.0,0.096,0.001,True,0.09548906556818416
231670397.0,104.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,59.0,122.6,1.0,0.0,3.0,KP,KP,9.8638,0.006,,1.0,spoc,UNKNOWN,21:19:47.93,-58:08:56.16,10.552,0.045,-10.658,0.043,2459038.863566,0.0009549599,4.08729939632711,4.1056146e-06,5.5861130474761,0.050875474,3.885379,0.03875,3572.17124985973,35.689426,13.6237731764604,0.65182334,2242.36054008399,1755.07673832663,48.678577,316.678,2.9655,6036.0,,3.93359,,2.21866989135742,0.102573,,,1.16,0.166129,"1,27",2018-09-05,2021-12-01,2021-12-07 12:08:34,WASP-73 b,104.0,1.0,False,False,4.087,0.0,0.058,0.001,True,0.05629554596693463
144065872.0,105.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,213.3,430.7,1.0,3.0,2.0,KP,KP,9.4995,0.006,,1.0,spoc-s01-s36-b0A-CPKP,UNKNOWN,22:29:49.88,-48:00:11.16,91.976,0.052,-6.861,0.069,2459084.58501,0.00011,2.18466694872065,4.851188e-07,2.86528001574358,0.009074817,12.786825,0.037924,11708.0228548887,34.928566,13.702852670325,0.66197515,1362.1381428406,1549.44098010565,349.33414,137.544,0.7905,5630.0,,4.37759,,1.23824000358582,0.0596985,,,1.03,0.127209,"1,28",2018-09-05,2021-12-08,2021-12-21 12:05:17,WASP-95; epoch kept from qlp-s28-tois,105.0,1.0,False,False,2.185,0.0,0.103,0.0,True,0.1014554726624919
38846515.0,106.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,94.5,107.7,1.0,0.0,3.0,KP,KP,10.3157,0.006,,1.0,qlp,UNKNOWN,04:35:50.36,-64:01:37.34,10.845,0.035,-0.499,0.052,2459386.715318,0.0004872,2.8493824,4.2e-06,3.806,0.532,8.425347,0.000295,7730.0,0.272068,16.4149,0.742397,3854.88,2195.0,657.0,364.411,2.729,6900.0,,4.438,,1.77,0.08,,,1.44,0.243534,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",2019-05-07,2021-08-26,2021-10-29 00:00:00,WASP-100b,106.0,1.0,False,False,2.849,0.0,0.083,0.0,True,0.0850225831885781
92352620.0,107.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,190.5,236.6,0.0,1.0,3.0,KP,KP,9.6433,0.006,,1.0,spoc,UNKNOWN,20:55:07.98,-34:08:08.7,26.376,0.078,-44.947,0.059,2459039.335846,0.00038635198,3.95020094278708,1.600228e-06,4.56436423242551,0.018132707,14.00227,0.064564,12813.762930751,59.46348,19.7058959371285,0.8632607,1364.08984021221,1549.99569924754,201.10165,211.211,2.4835,6153.0,,4.18077,,1.71036005020142,0.074613,0.22,0.1,1.14,0.150731,"1,27",2018-09-05,2021-10-07,2021-10-29 00:00:00,WASP-94 A b,107.0,1.0,False,False,3.95,0.0,0.106,0.001,True,0.10562773369779194
289793076.0,108.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,46.3,115.6,0.0,0.0,4.0,KP,KP,13.163,0.01,,1.0,spoc,SPOC,21:07:50.76,-26:05:48.19,3.479,0.063,-10.313,0.038,2458328.08383,0.0004391314,3.0440540665342,4.25771e-06,2.59845748018295,0.061165422,24.414911,0.532696,22236.0165376302,490.51093,12.1086799407213,0.2679916,315.987132647374,1075.31845422327,34.314007,421.855,8.339,5523.0,,4.52192,,0.809867978096008,,,,0.95,,"1,28",2018-09-05,2021-10-20,2021-10-29 00:00:00,HATS-13 b,108.0,1.0,False,False,3.044,0.0,0.14,0.003,True,0.1370729922266185
29344935.0,109.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,38.3,84.7,0.0,0.0,5.0,KP,KP,13.2366,0.007,,1.0,spoc,UNKNOWN,20:52:51.71,-25:41:14.55,1.053,0.052,-9.881,0.029,2458326.127889,0.00053233746,2.766747877062,4.5420184e-06,2.59980826976837,0.082150556,16.248311,0.353657,14853.8243821185,325.67685,12.0222506977152,0.39210835,505.886965355293,1209.57589092691,29.239107,513.011,9.1275,5346.0,,4.48823,,0.98486602306366,,,,0.93,,"1,28",2018-09-05,2021-12-02,2021-12-07 12:08:34,HATS-14 b,109.0,1.0,False,False,2.767,0.0,0.118,0.002,True,0.11191233205905443
281459670.0,110.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,77.2,71.1,0.0,0.0,1.0,KP,KP,11.6714,0.006,,1.0,spoc,UNKNOWN,00:22:28.45,-59:56:33.32,-22.309,0.036,-4.893,0.034,2458328.040318,0.000219277,3.17434739143305,2.150323e-06,2.65151241654757,0.031354535,16.579229,0.180485,15154.0381610053,166.21867,14.4066832991886,0.80587804,718.910615137806,1320.65224399378,74.55683,342.14,2.912,5943.0,,4.42524,,1.1570600271225,0.0633669,-0.1,0.1,1.03,0.12909,"1,2,28,29",2018-11-14,2021-12-03,2021-12-07 12:08:34,HATS-30 b,110.0,1.0,False,False,3.174,0.0,0.117,0.002,True,0.114150400528817
